player-1,player-2,player-3,avg
Mominul Haque,Mosharraf Hossain,Mohammad Saifuddin,0
Mominul Haque,Mosharraf Hossain,Najmul Hossain Shanto,0
Al-Amin Hossain,Mosharraf Hossain,Mushfiqur Rahim,0
Tanbir Hayder,Mosharraf Hossain,Mushfiqur Rahim,0
Mashrafe Mortaza,Mosharraf Hossain,Mushfiqur Rahim,19
Sunzamul Islam,Mosharraf Hossain,Mushfiqur Rahim,0
Mosharraf Hossain,Mosaddek Hossain,Mushfiqur Rahim,19.5
Ariful Haque,Mosharraf Hossain,Mushfiqur Rahim,0
Fazle Mahmud,Mosharraf Hossain,Mushfiqur Rahim,0
Arafat Sunny,Mosharraf Hossain,Mushfiqur Rahim,0
Mosharraf Hossain,Mushfiqur Rahim,Rubel Hossain,0
Mehidy Hasan Miraz,Mosharraf Hossain,Mushfiqur Rahim,0
Taijul Islam,Mosharraf Hossain,Mushfiqur Rahim,0
Mahmudullah,Mosharraf Hossain,Mushfiqur Rahim,46
Mosharraf Hossain,Tamim Iqbal,Mushfiqur Rahim,85
Soumya Sarkar,Mosharraf Hossain,Mushfiqur Rahim,27
Subashis Roy,Mosharraf Hossain,Mushfiqur Rahim,0
Mosharraf Hossain,Liton Das,Mushfiqur Rahim,0
Shakib Al Hasan,Mosharraf Hossain,Mushfiqur Rahim,65.5
Mustafizur Rahman,Mosharraf Hossain,Mushfiqur Rahim,0
Anamul Haque,Mosharraf Hossain,Mushfiqur Rahim,0
Mohammad Naim,Mosharraf Hossain,Mushfiqur Rahim,0
Mosharraf Hossain,Mushfiqur Rahim,Sabbir Rahman,59
Mosharraf Hossain,Mushfiqur Rahim,Shafiul Islam,18.5
Abul Hasan,Mosharraf Hossain,Mushfiqur Rahim,0
Jubair Hossain,Mosharraf Hossain,Mushfiqur Rahim,0
Mosharraf Hossain,Abu Jayed,Mushfiqur Rahim,0
Mosharraf Hossain,Afif Hossain,Mushfiqur Rahim,0
Imrul Kayes,Mosharraf Hossain,Mushfiqur Rahim,131
Mosharraf Hossain,Mushfiqur Rahim,Mohammad Saifuddin,0
Najmul Hossain Shanto,Mosharraf Hossain,Mushfiqur Rahim,0
Al-Amin Hossain,Tanbir Hayder,Mosharraf Hossain,0
Al-Amin Hossain,Mashrafe Mortaza,Mosharraf Hossain,0
Al-Amin Hossain,Mosharraf Hossain,Sunzamul Islam,0
Al-Amin Hossain,Mosharraf Hossain,Mosaddek Hossain,0
Al-Amin Hossain,Ariful Haque,Mosharraf Hossain,0
Al-Amin Hossain,Fazle Mahmud,Mosharraf Hossain,0
Al-Amin Hossain,Arafat Sunny,Mosharraf Hossain,0
Al-Amin Hossain,Mosharraf Hossain,Rubel Hossain,0
Al-Amin Hossain,Mehidy Hasan Miraz,Mosharraf Hossain,0
Al-Amin Hossain,Taijul Islam,Mosharraf Hossain,0
