,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
1517,Taijul Islam,Mosaddek Hossain,Mushfiqur Rahim,Rubel Hossain,103.0,65.02
1518,Mahmudullah,Mosaddek Hossain,Mushfiqur Rahim,Rubel Hossain,92.07142857,81.78999999999999
1519,Tamim Iqbal,Mosaddek Hossain,Mushfiqur Rahim,Rubel Hossain,113.3571429,100.92
1520,Liton Das,Mosaddek Hossain,Mushfiqur Rahim,Rubel Hossain,92.75,87.11
1521,Shakib Al Hasan,Mosaddek Hossain,Mushfiqur Rahim,Rubel Hossain,94.21428571,93.55
1522,Mustafizur Rahman,Mosaddek Hossain,Mushfiqur Rahim,Rubel Hossain,60.69230769,58.54
1523,Shafiul Islam,Mosaddek Hossain,Mushfiqur Rahim,Rubel Hossain,87.0,58.39
1524,Mehidy Hasan Miraz,Taijul Islam,Mosaddek Hossain,Mushfiqur Rahim,157.0,73.72
1525,Mahmudullah,Mehidy Hasan Miraz,Mosaddek Hossain,Mushfiqur Rahim,95.88235294,90.49
1526,Mehidy Hasan Miraz,Tamim Iqbal,Mosaddek Hossain,Mushfiqur Rahim,113.1875,109.62
1527,Soumya Sarkar,Mehidy Hasan Miraz,Mosaddek Hossain,Mushfiqur Rahim,101.66666670000001,99.8
1528,Mehidy Hasan Miraz,Liton Das,Mosaddek Hossain,Mushfiqur Rahim,108.4,95.81
1529,Mehidy Hasan Miraz,Mosaddek Hossain,Mushfiqur Rahim,Shakib Al Hasan,126.42857140000001,102.25
1530,Mustafizur Rahman,Mehidy Hasan Miraz,Mosaddek Hossain,Mushfiqur Rahim,75.88235294,67.24
1531,Mehidy Hasan Miraz,Sabbir Rahman,Mosaddek Hossain,Mushfiqur Rahim,87.44444444,86.89
1532,Mehidy Hasan Miraz,Shafiul Islam,Mosaddek Hossain,Mushfiqur Rahim,118.5,67.09
1533,Mehidy Hasan Miraz,Najmul Hossain Shanto,Mosaddek Hossain,Mushfiqur Rahim,82.0,76.84
1534,Mahmudullah,Taijul Islam,Mosaddek Hossain,Mushfiqur Rahim,119.0,88.4
1535,Taijul Islam,Tamim Iqbal,Mosaddek Hossain,Mushfiqur Rahim,123.0,107.53
1536,Soumya Sarkar,Taijul Islam,Mosaddek Hossain,Mushfiqur Rahim,119.0,97.71000000000001
1537,Shakib Al Hasan,Taijul Islam,Mosaddek Hossain,Mushfiqur Rahim,110.0,100.16
1538,Mustafizur Rahman,Taijul Islam,Mosaddek Hossain,Mushfiqur Rahim,116.0,65.15
1539,Taijul Islam,Mosaddek Hossain,Mushfiqur Rahim,Sabbir Rahman,111.0,84.8
1540,Taijul Islam,Mosaddek Hossain,Mushfiqur Rahim,Shafiul Islam,114.0,65.0
1541,Mahmudullah,Tamim Iqbal,Mosaddek Hossain,Mushfiqur Rahim,130.2857143,124.30000000000001
1542,Mahmudullah,Liton Das,Mosaddek Hossain,Mushfiqur Rahim,118.33333329999999,110.48999999999998
1543,Mahmudullah,Shakib Al Hasan,Mosaddek Hossain,Mushfiqur Rahim,129.80769229999999,116.92999999999998
1544,Mahmudullah,Mustafizur Rahman,Mosaddek Hossain,Mushfiqur Rahim,86.0,81.91999999999999
1545,Mahmudullah,Sabbir Rahman,Mosaddek Hossain,Mushfiqur Rahim,105.8571429,101.57
1546,Mahmudullah,Shafiul Islam,Mosaddek Hossain,Mushfiqur Rahim,87.33333333,81.77
1547,Mahmudullah,Abu Jayed,Mosaddek Hossain,Mushfiqur Rahim,84.0,80.52
1548,Mahmudullah,Imrul Kayes,Mosaddek Hossain,Mushfiqur Rahim,131.2,123.77000000000001
1549,Tamim Iqbal,Mosaddek Hossain,Mushfiqur Rahim,Liton Das,130.8333333,129.62
1550,Shakib Al Hasan,Tamim Iqbal,Mosaddek Hossain,Mushfiqur Rahim,151.26923080000003,136.06
1551,Mustafizur Rahman,Tamim Iqbal,Mosaddek Hossain,Mushfiqur Rahim,105.21739129999999,101.05
1552,Anamul Haque,Tamim Iqbal,Mosaddek Hossain,Mushfiqur Rahim,148.0,115.65
1553,Sabbir Rahman,Tamim Iqbal,Mosaddek Hossain,Mushfiqur Rahim,128.3181818,120.69999999999999
1554,Abu Jayed,Tamim Iqbal,Mosaddek Hossain,Mushfiqur Rahim,106.0,99.65
1555,Imrul Kayes,Tamim Iqbal,Mosaddek Hossain,Mushfiqur Rahim,157.2,142.9
1556,Soumya Sarkar,Shakib Al Hasan,Mosaddek Hossain,Mushfiqur Rahim,127.8888889,126.24000000000001
1557,Shakib Al Hasan,Liton Das,Mosaddek Hossain,Mushfiqur Rahim,146.28571430000002,122.25
1558,Mustafizur Rahman,Liton Das,Mosaddek Hossain,Mushfiqur Rahim,90.16666667,87.24
1559,Sabbir Rahman,Liton Das,Mosaddek Hossain,Mushfiqur Rahim,108.5,106.88999999999999
1560,Abu Jayed,Liton Das,Mosaddek Hossain,Mushfiqur Rahim,125.0,85.84
1561,Mohammad Saifuddin,Liton Das,Mosaddek Hossain,Mushfiqur Rahim,104.0,99.02
1562,Mustafizur Rahman,Shakib Al Hasan,Mosaddek Hossain,Mushfiqur Rahim,108.4761905,93.67999999999999
1563,Anamul Haque,Shakib Al Hasan,Mosaddek Hossain,Mushfiqur Rahim,115.66666670000001,108.28
1564,Shakib Al Hasan,Abu Jayed,Mosaddek Hossain,Mushfiqur Rahim,99.0,92.28
1565,Imrul Kayes,Shakib Al Hasan,Mosaddek Hossain,Mushfiqur Rahim,139.8,135.53
1566,Shakib Al Hasan,Mohammad Saifuddin,Mosaddek Hossain,Mushfiqur Rahim,141.625,105.45999999999998
1567,Mustafizur Rahman,Sabbir Rahman,Mosaddek Hossain,Mushfiqur Rahim,79.0,78.32
1568,Mustafizur Rahman,Shafiul Islam,Mosaddek Hossain,Mushfiqur Rahim,106.0,58.519999999999996
1569,Imrul Kayes,Mustafizur Rahman,Mosaddek Hossain,Mushfiqur Rahim,104.0,100.52
1570,Sabbir Rahman,Mosaddek Hossain,Mushfiqur Rahim,Shafiul Islam,97.16666667,78.16999999999999
1571,Imrul Kayes,Sabbir Rahman,Mosaddek Hossain,Mushfiqur Rahim,130.8,120.16999999999999
1572,Imrul Kayes,Shafiul Islam,Mosaddek Hossain,Mushfiqur Rahim,112.0,100.37
1573,Mahmudullah,Ariful Haque,Soumya Sarkar,Mushfiqur Rahim,145.0,97.84
1574,Mahmudullah,Ariful Haque,Imrul Kayes,Mushfiqur Rahim,143.0,107.13
1575,Ariful Haque,Soumya Sarkar,Mushfiqur Rahim,Liton Das,145.0,103.16
1576,Ariful Haque,Imrul Kayes,Soumya Sarkar,Mushfiqur Rahim,260.0,116.44
