Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,Yuvraj Singh,Yuvraj Singh4,MS Dhoni,MS Dhoni5,KM Jadhav,KM Jadhav6,HH Pandya,HH Pandya7,RA Jadeja,RA Jadeja8,R Ashwin,R Ashwin9,B Kumar,B Kumar*,JJ Bumrah,JJ Bumrah#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,Yuvraj Singh,Yuvraj Singh4,MS Dhoni,MS Dhoni5,KM Jadhav,KM Jadhav6,HH Pandya,HH Pandya7,RA Jadeja,RA Jadeja8,R Ashwin,R Ashwin9,B Kumar,B Kumar*,JJ Bumrah,JJ Bumrah#
won,AM Rahane,AM Rahane1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,HH Pandya,HH Pandya4,Yuvraj Singh,Yuvraj Singh5,MS Dhoni,MS Dhoni6,KM Jadhav,KM Jadhav7,R Ashwin,R Ashwin8,Kuldeep Yadav,Kuldeep Yadav9,B Kumar,B Kumar*,UT Yadav,UT Yadav#
won,AM Rahane,AM Rahane1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,Yuvraj Singh,Yuvraj Singh4,MS Dhoni,MS Dhoni5,KM Jadhav,KM Jadhav6,HH Pandya,HH Pandya7,R Ashwin,R Ashwin8,Kuldeep Yadav,Kuldeep Yadav9,B Kumar,B Kumar*,UT Yadav,UT Yadav#
lost,AM Rahane,AM Rahane1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,KD Karthik,KD Karthik4,MS Dhoni,MS Dhoni5,KM Jadhav,KM Jadhav6,HH Pandya,HH Pandya7,RA Jadeja,RA Jadeja8,Kuldeep Yadav,Kuldeep Yadav9,UT Yadav,UT Yadav*,Mohammed Shami,Mohammed Shami#
won,AM Rahane,AM Rahane1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,KD Karthik,KD Karthik4,MS Dhoni,MS Dhoni5,KM Jadhav,KM Jadhav6,HH Pandya,HH Pandya7,RA Jadeja,RA Jadeja8,Kuldeep Yadav,Kuldeep Yadav9,UT Yadav,UT Yadav*,Mohammed Shami,Mohammed Shami#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,KL Rahul,KL Rahul4,MS Dhoni,MS Dhoni5,KM Jadhav,KM Jadhav6,HH Pandya,HH Pandya7,AR Patel,AR Patel8,B Kumar,B Kumar9,JJ Bumrah,JJ Bumrah*,YS Chahal,YS Chahal#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,KL Rahul,KL Rahul3,KM Jadhav,KM Jadhav4,V Kohli,V Kohli5,MS Dhoni,MS Dhoni6,HH Pandya,HH Pandya7,AR Patel,AR Patel8,B Kumar,B Kumar9,JJ Bumrah,JJ Bumrah*,YS Chahal,YS Chahal#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,KL Rahul,KL Rahul4,KM Jadhav,KM Jadhav5,MS Dhoni,MS Dhoni6,HH Pandya,HH Pandya7,AR Patel,AR Patel8,B Kumar,B Kumar9,JJ Bumrah,JJ Bumrah*,YS Chahal,YS Chahal#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,HH Pandya,HH Pandya4,KL Rahul,KL Rahul5,MK Pandey,MK Pandey6,MS Dhoni,MS Dhoni7,AR Patel,AR Patel8,Kuldeep Yadav,Kuldeep Yadav9,JJ Bumrah,JJ Bumrah*,SN Thakur,SN Thakur#
won,RG Sharma,RG Sharma1,AM Rahane,AM Rahane2,V Kohli,V Kohli3,MK Pandey,MK Pandey4,KM Jadhav,KM Jadhav5,MS Dhoni,MS Dhoni6,JJ Bumrah,JJ Bumrah7,YS Chahal,YS Chahal8,Kuldeep Yadav,Kuldeep Yadav9,B Kumar,B Kumar*,SN Thakur,SN Thakur#
won,AM Rahane,AM Rahane1,RG Sharma,RG Sharma2,V Kohli,V Kohli3,MK Pandey,MK Pandey4,KM Jadhav,KM Jadhav5,MS Dhoni,MS Dhoni6,HH Pandya,HH Pandya7,B Kumar,B Kumar8,Kuldeep Yadav,Kuldeep Yadav9,YS Chahal,YS Chahal*,JJ Bumrah,JJ Bumrah#
won,AM Rahane,AM Rahane1,RG Sharma,RG Sharma2,V Kohli,V Kohli3,MK Pandey,MK Pandey4,KM Jadhav,KM Jadhav5,MS Dhoni,MS Dhoni6,HH Pandya,HH Pandya7,B Kumar,B Kumar8,Kuldeep Yadav,Kuldeep Yadav9,JJ Bumrah,JJ Bumrah*,YS Chahal,YS Chahal#
won,AM Rahane,AM Rahane1,RG Sharma,RG Sharma2,V Kohli,V Kohli3,HH Pandya,HH Pandya4,KM Jadhav,KM Jadhav5,MK Pandey,MK Pandey6,MS Dhoni,MS Dhoni7,B Kumar,B Kumar8,Kuldeep Yadav,Kuldeep Yadav9,JJ Bumrah,JJ Bumrah*,YS Chahal,YS Chahal#
lost,AM Rahane,AM Rahane1,RG Sharma,RG Sharma2,V Kohli,V Kohli3,HH Pandya,HH Pandya4,KM Jadhav,KM Jadhav5,MK Pandey,MK Pandey6,MS Dhoni,MS Dhoni7,AR Patel,AR Patel8,Mohammed Shami,Mohammed Shami9,UT Yadav,UT Yadav*,YS Chahal,YS Chahal#
won,AM Rahane,AM Rahane1,RG Sharma,RG Sharma2,V Kohli,V Kohli3,KM Jadhav,KM Jadhav4,MK Pandey,MK Pandey5,HH Pandya,HH Pandya6,MS Dhoni,MS Dhoni7,B Kumar,B Kumar8,AR Patel,AR Patel9,JJ Bumrah,JJ Bumrah*,Kuldeep Yadav,Kuldeep Yadav#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,KM Jadhav,KM Jadhav4,KD Karthik,KD Karthik5,MS Dhoni,MS Dhoni6,HH Pandya,HH Pandya7,B Kumar,B Kumar8,Kuldeep Yadav,Kuldeep Yadav9,JJ Bumrah,JJ Bumrah*,YS Chahal,YS Chahal#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,KD Karthik,KD Karthik4,HH Pandya,HH Pandya5,MS Dhoni,MS Dhoni6,KM Jadhav,KM Jadhav7,AR Patel,AR Patel8,B Kumar,B Kumar9,JJ Bumrah,JJ Bumrah*,YS Chahal,YS Chahal#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,HH Pandya,HH Pandya4,MS Dhoni,MS Dhoni5,KM Jadhav,KM Jadhav6,KD Karthik,KD Karthik7,AR Patel,AR Patel8,B Kumar,B Kumar9,JJ Bumrah,JJ Bumrah*,YS Chahal,YS Chahal#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,SS Iyer,SS Iyer3,KD Karthik,KD Karthik4,MK Pandey,MK Pandey5,MS Dhoni,MS Dhoni6,HH Pandya,HH Pandya7,B Kumar,B Kumar8,Kuldeep Yadav,Kuldeep Yadav9,JJ Bumrah,JJ Bumrah*,YS Chahal,YS Chahal#
