,player-1,player-2,player-3,player-4,avg
341,J Anderson,GJ Delany,EC Joyce,Simi Singh,0.0
342,J Anderson,GJ Delany,J Cameron-Dow,EC Joyce,0.0
343,J Anderson,GJ Delany,MR Adair,EC Joyce,0.0
344,J Anderson,GJ Delany,JA McCollum,JF Mooney,0.0
345,J Anderson,GJ Delany,TJ Murtagh,JF Mooney,0.0
346,J Anderson,GJ Delany,KJ O'Brien,JF Mooney,0.0
347,J Anderson,GJ Delany,A Balbirnie,JF Mooney,0.0
348,J Anderson,GJ Delany,JF Mooney,C Campher,0.0
349,J Anderson,GJ Delany,JF Mooney,AR Cusack,0.0
350,J Anderson,GJ Delany,SW Poynter,JF Mooney,0.0
351,J Anderson,GJ Delany,PKD Chase,JF Mooney,0.0
352,J Anderson,GJ Delany,SP Terry,JF Mooney,0.0
353,J Anderson,GJ Delany,JF Mooney,WTS Porterfield,0.0
354,J Anderson,GJ Delany,JF Mooney,Simi Singh,0.0
355,J Anderson,GJ Delany,J Cameron-Dow,JF Mooney,0.0
356,J Anderson,GJ Delany,MR Adair,JF Mooney,0.0
357,J Anderson,GJ Delany,TJ Murtagh,JA McCollum,0.0
358,J Anderson,GJ Delany,KJ O'Brien,JA McCollum,0.0
359,J Anderson,GJ Delany,A Balbirnie,JA McCollum,0.0
360,J Anderson,GJ Delany,JA McCollum,C Campher,0.0
361,J Anderson,GJ Delany,JA McCollum,AR Cusack,0.0
362,J Anderson,GJ Delany,JA McCollum,SW Poynter,0.0
363,J Anderson,GJ Delany,PKD Chase,JA McCollum,0.0
364,J Anderson,GJ Delany,JA McCollum,SP Terry,0.0
365,J Anderson,GJ Delany,JA McCollum,WTS Porterfield,0.0
366,J Anderson,GJ Delany,JA McCollum,Simi Singh,0.0
367,J Anderson,GJ Delany,JA McCollum,J Cameron-Dow,0.0
368,J Anderson,GJ Delany,JA McCollum,MR Adair,0.0
369,KJ O'Brien,J Anderson,GJ Delany,TJ Murtagh,0.0
370,J Anderson,GJ Delany,TJ Murtagh,A Balbirnie,0.0
371,J Anderson,GJ Delany,TJ Murtagh,C Campher,0.0
372,J Anderson,GJ Delany,TJ Murtagh,AR Cusack,0.0
373,J Anderson,GJ Delany,TJ Murtagh,SW Poynter,0.0
374,PKD Chase,J Anderson,GJ Delany,TJ Murtagh,0.0
375,J Anderson,GJ Delany,TJ Murtagh,SP Terry,0.0
376,J Anderson,GJ Delany,TJ Murtagh,WTS Porterfield,0.0
377,J Anderson,GJ Delany,TJ Murtagh,Simi Singh,0.0
378,J Anderson,GJ Delany,TJ Murtagh,J Cameron-Dow,0.0
379,J Anderson,GJ Delany,TJ Murtagh,MR Adair,0.0
380,J Anderson,GJ Delany,KJ O'Brien,A Balbirnie,0.0
381,J Anderson,GJ Delany,KJ O'Brien,C Campher,0.0
382,J Anderson,GJ Delany,KJ O'Brien,AR Cusack,0.0
383,J Anderson,GJ Delany,KJ O'Brien,SW Poynter,0.0
384,PKD Chase,J Anderson,GJ Delany,KJ O'Brien,0.0
385,J Anderson,GJ Delany,KJ O'Brien,SP Terry,0.0
386,J Anderson,GJ Delany,KJ O'Brien,WTS Porterfield,0.0
387,J Anderson,GJ Delany,KJ O'Brien,Simi Singh,0.0
388,J Anderson,GJ Delany,KJ O'Brien,J Cameron-Dow,0.0
389,J Anderson,GJ Delany,KJ O'Brien,MR Adair,0.0
390,J Anderson,GJ Delany,A Balbirnie,C Campher,0.0
391,J Anderson,GJ Delany,A Balbirnie,AR Cusack,0.0
392,J Anderson,GJ Delany,A Balbirnie,SW Poynter,0.0
393,J Anderson,GJ Delany,PKD Chase,A Balbirnie,0.0
394,J Anderson,GJ Delany,A Balbirnie,SP Terry,0.0
395,J Anderson,GJ Delany,A Balbirnie,WTS Porterfield,0.0
396,J Anderson,GJ Delany,A Balbirnie,Simi Singh,0.0
397,J Anderson,GJ Delany,A Balbirnie,J Cameron-Dow,0.0
398,J Anderson,GJ Delany,A Balbirnie,MR Adair,0.0
399,J Anderson,GJ Delany,AR Cusack,C Campher,0.0
400,J Anderson,GJ Delany,SW Poynter,C Campher,0.0
401,J Anderson,GJ Delany,PKD Chase,C Campher,0.0
402,J Anderson,GJ Delany,SP Terry,C Campher,0.0
403,J Anderson,GJ Delany,WTS Porterfield,C Campher,0.0
404,J Anderson,GJ Delany,Simi Singh,C Campher,0.0
405,J Anderson,GJ Delany,J Cameron-Dow,C Campher,0.0
406,J Anderson,GJ Delany,MR Adair,C Campher,0.0
407,J Anderson,GJ Delany,SW Poynter,AR Cusack,0.0
408,J Anderson,GJ Delany,PKD Chase,AR Cusack,0.0
409,J Anderson,GJ Delany,SP Terry,AR Cusack,0.0
410,J Anderson,GJ Delany,WTS Porterfield,AR Cusack,0.0
411,J Anderson,GJ Delany,Simi Singh,AR Cusack,0.0
412,J Anderson,GJ Delany,J Cameron-Dow,AR Cusack,0.0
413,J Anderson,GJ Delany,MR Adair,AR Cusack,0.0
414,J Anderson,GJ Delany,PKD Chase,SW Poynter,0.0
