player-1,player-2,avg
Najmul Hossain Shanto,T Panyangara,0
TL Chatara,T Panyangara,10.4
T Panyangara,ehidy Hasan Miraz,0
Liton Das,T Panyangara,0
BV Vitori,T Panyangara,1.333333333
E Chigumbura,T Panyangara,34.54545455
Mushfiqur Rahim,T Panyangara,0
LN Roche,T Panyangara,0
Mustafizur Rahman,T Panyangara,0
T Mupariwa,T Panyangara,11
T Panyangara,PJ Moor,59
C Zhuwao,T Panyangara,0
RW Chakabva,T Panyangara,14.25
T Panyangara,Mohammad Mithun,0
BRM Taylor,T Panyangara,83
R Mutumbami,T Panyangara,22.14285714
MN Waller,T Panyangara,14
Mashrafe Mortaza,T Panyangara,0
T Panyangara,CB Mpofu,11
T Panyangara,J Nyumbu,3.5
TK Musakanda,T Panyangara,0
TP Kamungozi,T Panyangara,7
KM Jarvis,T Panyangara,0
S Matsikenyeri,T Panyangara,23
CR Ervine,T Panyangara,33.95
CJ Chibhabha,T Panyangara,34.17391304
CT Mumba,T Panyangara,13
CK Tshuma,T Panyangara,0
T Muzarabani,T Panyangara,4.333333333
Sikandar Raza,T Panyangara,31.16
TS Chisoro,T Panyangara,6.2
Mohammad Saifuddin,T Panyangara,0
R Murray,T Panyangara,0
B Muzarabani,T Panyangara,0
T Maruma,T Panyangara,0
CK Coventry,T Panyangara,14
Taijul Islam,T Panyangara,0
AG Cremer,T Panyangara,15.81818182
Mahmudullah,V Sibanda,0
CT Mutombodzi,V Sibanda,0
BB Chari,V Sibanda,0
SC Williams,V Sibanda,34.4
DT Tiripano,V Sibanda,23
TS Kamunhukamwe,V Sibanda,0
Tamim Iqbal,V Sibanda,0
PS Masvaure,V Sibanda,0
Najmul Hossain Shanto,V Sibanda,0
TL Chatara,V Sibanda,32
ehidy Hasan Miraz,V Sibanda,0
Liton Das,V Sibanda,0
BV Vitori,V Sibanda,16.5
E Chigumbura,V Sibanda,68.66666667
Mushfiqur Rahim,V Sibanda,0
LN Roche,V Sibanda,0
Mustafizur Rahman,V Sibanda,0
T Mupariwa,V Sibanda,26
PJ Moor,V Sibanda,31
C Zhuwao,V Sibanda,0
RW Chakabva,V Sibanda,0
Mohammad Mithun,V Sibanda,0
BRM Taylor,V Sibanda,0
R Mutumbami,V Sibanda,34.57142857
MN Waller,V Sibanda,46
Mashrafe Mortaza,V Sibanda,0
CB Mpofu,V Sibanda,23
J Nyumbu,V Sibanda,0
TK Musakanda,V Sibanda,0
TP Kamungozi,V Sibanda,0
KM Jarvis,V Sibanda,0
S Matsikenyeri,V Sibanda,0
CR Ervine,V Sibanda,24.5
CJ Chibhabha,V Sibanda,61
CT Mumba,V Sibanda,0
CK Tshuma,V Sibanda,0
T Muzarabani,V Sibanda,32
Sikandar Raza,V Sibanda,57.66666667
TS Chisoro,V Sibanda,0
Mohammad Saifuddin,V Sibanda,0
R Murray,V Sibanda,0
B Muzarabani,V Sibanda,0
T Maruma,V Sibanda,55
CK Coventry,V Sibanda,23
Taijul Islam,V Sibanda,0
AG Cremer,V Sibanda,33.66666667
Mahmudullah,CT Mutombodzi,0
Mahmudullah,BB Chari,0
SC Williams,Mahmudullah,0
Mahmudullah,DT Tiripano,0
Mahmudullah,TS Kamunhukamwe,0
Mahmudullah,Tamim Iqbal,56
Mahmudullah,PS Masvaure,0
Mahmudullah,Najmul Hossain Shanto,61
Mahmudullah,TL Chatara,0
Mahmudullah,ehidy Hasan Miraz,39
Mahmudullah,Liton Das,158
BV Vitori,Mahmudullah,0
E Chigumbura,Mahmudullah,0
Mushfiqur Rahim,Mahmudullah,51
LN Roche,Mahmudullah,0
Mustafizur Rahman,Mahmudullah,32
Mahmudullah,T Mupariwa,0
Mahmudullah,PJ Moor,0
C Zhuwao,Mahmudullah,0
Mahmudullah,RW Chakabva,0
Mahmudullah,Mohammad Mithun,82
BRM Taylor,Mahmudullah,0
R Mutumbami,Mahmudullah,0
MN Waller,Mahmudullah,0
Mashrafe Mortaza,Mahmudullah,32
Mahmudullah,CB Mpofu,0
