Result,P1,P1_S,P2,P2_S,P3,P3_S,P4,P4_S,P5,P5_S,P6,P6_S,P7,P7_S,P8,P8_S,P9,P9_S,P10,P10_S,P11,P11_S
won,RG Sharma,11,S Dhawan,75,V Kohli,45,AT Rayudu,13,KM Jadhav,0,MS Dhoni,0,V Shankar,0,Kuldeep Yadav,0,YS Chahal,0,B Kumar,0,Mohammed Shami,0
won,RG Sharma,87,S Dhawan,66,V Kohli,43,AT Rayudu,47,MS Dhoni,48,KM Jadhav,22,V Shankar,0,Kuldeep Yadav,0,YS Chahal,0,B Kumar,0,Mohammed Shami,0
won,RG Sharma,62,S Dhawan,28,V Kohli,60,AT Rayudu,40,KD Karthik,38,KM Jadhav,0,HH Pandya,0,Kuldeep Yadav,0,YS Chahal,0,B Kumar,0,Mohammed Shami,0
lost,RG Sharma,7,S Dhawan,13,Shubman Gill,9,AT Rayudu,0,KD Karthik,0,KM Jadhav,1,HH Pandya,16,B Kumar,1,Kuldeep Yadav,15,YS Chahal,18,KK Ahmed,5
won,RG Sharma,2,S Dhawan,6,Shubman Gill,7,AT Rayudu,90,MS Dhoni,1,V Shankar,45,KM Jadhav,34,HH Pandya,45,B Kumar,6,Mohammed Shami,1,YS Chahal,0
won,RG Sharma,37,S Dhawan,0,V Kohli,44,AT Rayudu,13,MS Dhoni,59,KM Jadhav,81,V Shankar,0,RA Jadeja,0,Kuldeep Yadav,0,Mohammed Shami,0,JJ Bumrah,0
won,RG Sharma,0,S Dhawan,21,V Kohli,116,AT Rayudu,18,V Shankar,46,KM Jadhav,11,MS Dhoni,0,RA Jadeja,21,Kuldeep Yadav,3,Mohammed Shami,2,JJ Bumrah,0
lost,S Dhawan,1,RG Sharma,14,V Kohli,123,AT Rayudu,2,MS Dhoni,26,KM Jadhav,26,V Shankar,32,RA Jadeja,24,Kuldeep Yadav,10,Mohammed Shami,8,JJ Bumrah,0
lost,RG Sharma,95,S Dhawan,143,KL Rahul,26,V Kohli,7,RR Pant,36,KM Jadhav,10,V Shankar,26,B Kumar,1,Kuldeep Yadav,1,YS Chahal,0,JJ Bumrah,6
lost,RG Sharma,56,S Dhawan,12,V Kohli,20,RR Pant,16,V Shankar,16,KM Jadhav,44,RA Jadeja,0,B Kumar,46,Mohammed Shami,3,Kuldeep Yadav,8,JJ Bumrah,1
won,S Dhawan,8,RG Sharma,122,V Kohli,18,KL Rahul,26,MS Dhoni,34,HH Pandya,15,KM Jadhav,0,B Kumar,0,Kuldeep Yadav,0,YS Chahal,0,JJ Bumrah,0
won,RG Sharma,57,S Dhawan,117,V Kohli,82,HH Pandya,48,MS Dhoni,27,KL Rahul,11,KM Jadhav,0,B Kumar,0,Kuldeep Yadav,0,YS Chahal,0,JJ Bumrah,0
won,KL Rahul,57,RG Sharma,140,V Kohli,77,HH Pandya,26,MS Dhoni,1,V Shankar,15,KM Jadhav,9,B Kumar,0,Kuldeep Yadav,0,YS Chahal,0,JJ Bumrah,0
won,KL Rahul,30,RG Sharma,1,V Kohli,67,V Shankar,29,MS Dhoni,28,KM Jadhav,52,HH Pandya,7,Mohammed Shami,1,Kuldeep Yadav,1,JJ Bumrah,1,YS Chahal,0
won,KL Rahul,48,RG Sharma,18,V Kohli,72,V Shankar,14,KM Jadhav,7,MS Dhoni,56,HH Pandya,46,Mohammed Shami,0,Kuldeep Yadav,0,YS Chahal,0,JJ Bumrah,0
lost,KL Rahul,0,RG Sharma,102,V Kohli,66,RR Pant,32,HH Pandya,45,MS Dhoni,42,KM Jadhav,12,Kuldeep Yadav,0,Mohammed Shami,0,YS Chahal,0,JJ Bumrah,0
won,KL Rahul,77,RG Sharma,104,V Kohli,26,RR Pant,48,HH Pandya,0,MS Dhoni,35,KD Karthik,8,B Kumar,2,Mohammed Shami,1,JJ Bumrah,0,YS Chahal,0
won,KL Rahul,111,RG Sharma,103,V Kohli,34,RR Pant,4,HH Pandya,7,MS Dhoni,0,KD Karthik,0,RA Jadeja,0,B Kumar,0,JJ Bumrah,0,Kuldeep Yadav,0
lost,KL Rahul,1,RG Sharma,1,V Kohli,1,RR Pant,32,KD Karthik,6,HH Pandya,32,MS Dhoni,50,RA Jadeja,77,B Kumar,0,YS Chahal,5,JJ Bumrah,0
won,S Dhawan,2,RG Sharma,18,V Kohli,120,RR Pant,20,SS Iyer,71,KM Jadhav,16,RA Jadeja,16,B Kumar,1,Mohammed Shami,3,Kuldeep Yadav,0,KK Ahmed,0
won,RG Sharma,10,S Dhawan,36,V Kohli,114,RR Pant,0,SS Iyer,65,KM Jadhav,19,RA Jadeja,0,B Kumar,0,Mohammed Shami,0,KK Ahmed,0,YS Chahal,0
lost,RG Sharma,36,KL Rahul,6,V Kohli,4,SS Iyer,70,RR Pant,71,KM Jadhav,40,RA Jadeja,21,S Dube,9,DL Chahar,6,Mohammed Shami,0,Kuldeep Yadav,0
won,RG Sharma,159,KL Rahul,102,V Kohli,0,SS Iyer,53,RR Pant,39,KM Jadhav,16,RA Jadeja,0,DL Chahar,0,Mohammed Shami,0,SN Thakur,0,Kuldeep Yadav,0
won,RG Sharma,63,KL Rahul,77,V Kohli,85,SS Iyer,7,RR Pant,7,KM Jadhav,9,RA Jadeja,39,SN Thakur,17,Mohammed Shami,0,Kuldeep Yadav,0,NA Saini,0
lost,RG Sharma,10,S Dhawan,74,KL Rahul,47,V Kohli,16,SS Iyer,4,RR Pant,28,RA Jadeja,25,SN Thakur,13,Mohammed Shami,10,Kuldeep Yadav,17,JJ Bumrah,0
won,RG Sharma,42,S Dhawan,96,V Kohli,78,SS Iyer,7,KL Rahul,80,MK Pandey,2,RA Jadeja,20,Mohammed Shami,1,Kuldeep Yadav,0,NA Saini,0,JJ Bumrah,0
won,RG Sharma,119,KL Rahul,19,V Kohli,89,SS Iyer,44,MK Pandey,8,S Dhawan,0,RA Jadeja,0,Mohammed Shami,0,Kuldeep Yadav,0,NA Saini,0,JJ Bumrah,0
lost,PP Shaw,20,MA Agarwal,32,V Kohli,51,SS Iyer,103,KL Rahul,88,KM Jadhav,26,RA Jadeja,0,SN Thakur,0,Kuldeep Yadav,0,Mohammed Shami,0,JJ Bumrah,0
lost,PP Shaw,24,MA Agarwal,3,V Kohli,15,SS Iyer,52,KL Rahul,4,KM Jadhav,9,RA Jadeja,55,SN Thakur,18,NA Saini,45,YS Chahal,10,JJ Bumrah,0
lost,PP Shaw,40,MA Agarwal,1,V Kohli,9,SS Iyer,62,KL Rahul,112,MK Pandey,42,RA Jadeja,8,SN Thakur,7,NA Saini,8,YS Chahal,0,JJ Bumrah,0
