Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
lost,HM Amla,HM Amla1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,JP Duminy,JP Duminy5,DA Miller,DA Miller6,CH Morris,CH Morris7,WD Parnell,WD Parnell8,AL Phehlukwayo,AL Phehlukwayo9,K Rabada,K Rabada10,Imran Tahir,Imran Tahir11
lost,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,DA Miller,DA Miller5,F Behardien,F Behardien6,CH Morris,CH Morris7,D Pretorius,D Pretorius8,K Rabada,K Rabada9,AL Phehlukwayo,AL Phehlukwayo10,KA Maharaj,KA Maharaj11
won,HM Amla,HM Amla1,Q de Kock,Q de Kock2,JP Duminy,JP Duminy3,F du Plessis,F du Plessis4,AB de Villiers,AB de Villiers5,DA Miller,DA Miller6,CH Morris,CH Morris7,WD Parnell,WD Parnell8,KA Maharaj,KA Maharaj9,K Rabada,K Rabada10,M Morkel,M Morkel11
won,HM Amla,HM Amla1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,DA Miller,DA Miller5,JP Duminy,JP Duminy6,CH Morris,CH Morris7,WD Parnell,WD Parnell8,K Rabada,K Rabada9,M Morkel,M Morkel10,Imran Tahir,Imran Tahir11
lost,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,DA Miller,DA Miller5,JP Duminy,JP Duminy6,WD Parnell,WD Parnell7,CH Morris,CH Morris8,K Rabada,K Rabada9,M Morkel,M Morkel10,Imran Tahir,Imran Tahir11
lost,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,DA Miller,DA Miller5,JP Duminy,JP Duminy6,CH Morris,CH Morris7,AL Phehlukwayo,AL Phehlukwayo8,K Rabada,K Rabada9,M Morkel,M Morkel10,Imran Tahir,Imran Tahir11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,DA Miller,DA Miller5,JP Duminy,JP Duminy6,D Pretorius,D Pretorius7,AL Phehlukwayo,AL Phehlukwayo8,K Rabada,K Rabada9,D Paterson,D Paterson10,Imran Tahir,Imran Tahir11
won,HM Amla,HM Amla1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,JP Duminy,JP Duminy5,F Behardien,F Behardien6,D Pretorius,D Pretorius7,AL Phehlukwayo,AL Phehlukwayo8,K Rabada,K Rabada9,D Paterson,D Paterson10,Imran Tahir,Imran Tahir11
won,T Bavuma,T Bavuma1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,AK Markram,AK Markram4,AB de Villiers,AB de Villiers5,F Behardien,F Behardien6,PWA Mulder,PWA Mulder7,AL Phehlukwayo,AL Phehlukwayo8,K Rabada,K Rabada9,D Paterson,D Paterson10,Imran Tahir,Imran Tahir11
lost,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,AK Markram,AK Markram4,JP Duminy,JP Duminy5,DA Miller,DA Miller6,CH Morris,CH Morris7,AL Phehlukwayo,AL Phehlukwayo8,K Rabada,K Rabada9,M Morkel,M Morkel10,Imran Tahir,Imran Tahir11
lost,HM Amla,HM Amla1,Q de Kock,Q de Kock2,AK Markram,AK Markram3,JP Duminy,JP Duminy4,DA Miller,DA Miller5,K Zondo,K Zondo6,CH Morris,CH Morris7,K Rabada,K Rabada8,M Morkel,M Morkel9,Imran Tahir,Imran Tahir10,T Shamsi,T Shamsi11
lost,HM Amla,HM Amla1,AK Markram,AK Markram2,JP Duminy,JP Duminy3,H Klaasen,H Klaasen4,DA Miller,DA Miller5,K Zondo,K Zondo6,CH Morris,CH Morris7,AL Phehlukwayo,AL Phehlukwayo8,K Rabada,K Rabada9,Imran Tahir,Imran Tahir10,L Ngidi,L Ngidi11
won,AK Markram,AK Markram1,HM Amla,HM Amla2,JP Duminy,JP Duminy3,AB de Villiers,AB de Villiers4,DA Miller,DA Miller5,H Klaasen,H Klaasen6,AL Phehlukwayo,AL Phehlukwayo7,CH Morris,CH Morris8,K Rabada,K Rabada9,L Ngidi,L Ngidi10,M Morkel,M Morkel11
lost,HM Amla,HM Amla1,AK Markram,AK Markram2,JP Duminy,JP Duminy3,AB de Villiers,AB de Villiers4,DA Miller,DA Miller5,H Klaasen,H Klaasen6,AL Phehlukwayo,AL Phehlukwayo7,K Rabada,K Rabada8,M Morkel,M Morkel9,T Shamsi,T Shamsi10,L Ngidi,L Ngidi11
lost,AK Markram,AK Markram1,HM Amla,HM Amla2,AB de Villiers,AB de Villiers3,K Zondo,K Zondo4,H Klaasen,H Klaasen5,F Behardien,F Behardien6,CH Morris,CH Morris7,AL Phehlukwayo,AL Phehlukwayo8,M Morkel,M Morkel9,Imran Tahir,Imran Tahir10,L Ngidi,L Ngidi11
won,HM Amla,HM Amla1,Q de Kock,Q de Kock2,AK Markram,AK Markram3,F du Plessis,F du Plessis4,JP Duminy,JP Duminy5,DA Miller,DA Miller6,PWA Mulder,PWA Mulder7,AL Phehlukwayo,AL Phehlukwayo8,K Rabada,K Rabada9,T Shamsi,T Shamsi10,L Ngidi,L Ngidi11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,AK Markram,AK Markram3,F du Plessis,F du Plessis4,JP Duminy,JP Duminy5,DA Miller,DA Miller6,PWA Mulder,PWA Mulder7,AL Phehlukwayo,AL Phehlukwayo8,K Rabada,K Rabada9,T Shamsi,T Shamsi10,L Ngidi,L Ngidi11
won,HM Amla,HM Amla1,Q de Kock,Q de Kock2,RR Hendricks,RR Hendricks3,F du Plessis,F du Plessis4,JP Duminy,JP Duminy5,DA Miller,DA Miller6,AL Phehlukwayo,AL Phehlukwayo7,PWA Mulder,PWA Mulder8,K Rabada,K Rabada9,T Shamsi,T Shamsi10,L Ngidi,L Ngidi11
lost,Q de Kock,Q de Kock1,HM Amla,HM Amla2,RR Hendricks,RR Hendricks3,JP Duminy,JP Duminy4,H Klaasen,H Klaasen5,DA Miller,DA Miller6,AL Phehlukwayo,AL Phehlukwayo7,PWA Mulder,PWA Mulder8,KA Maharaj,KA Maharaj9,CJ Dala,CJ Dala10,L Ngidi,L Ngidi11
lost,HM Amla,HM Amla1,Q de Kock,Q de Kock2,AK Markram,AK Markram3,RR Hendricks,RR Hendricks4,H Klaasen,H Klaasen5,JP Duminy,JP Duminy6,PWA Mulder,PWA Mulder7,AL Phehlukwayo,AL Phehlukwayo8,KA Maharaj,KA Maharaj9,K Rabada,K Rabada10,CJ Dala,CJ Dala11
won,AK Markram,AK Markram1,D Elgar,D Elgar2,RR Hendricks,RR Hendricks3,H Klaasen,H Klaasen4,C Jonker,C Jonker5,JP Duminy,JP Duminy6,PWA Mulder,PWA Mulder7,AL Phehlukwayo,AL Phehlukwayo8,K Rabada,K Rabada9,Imran Tahir,Imran Tahir10,L Ngidi,L Ngidi11
won,D Elgar,D Elgar1,AK Markram,AK Markram2,RR Hendricks,RR Hendricks3,H Klaasen,H Klaasen4,K Zondo,K Zondo5,C Jonker,C Jonker6,JP Duminy,JP Duminy7,AL Phehlukwayo,AL Phehlukwayo8,DW Steyn,DW Steyn9,Imran Tahir,Imran Tahir10,L Ngidi,L Ngidi11
