,player-1,player-2,avg
527,R Ashwin,AT Rayudu,24.0
528,R Ashwin,FY Fazal,0.0
529,R Ashwin,V Shankar,0.0
530,R Ashwin,I Sharma,1.0
531,RA Jadeja,R Ashwin,13.470588235294118
532,R Ashwin,AR Patel,9.333333333333334
533,R Ashwin,S Dube,0.0
534,YS Chahal,J Yadav,0.0
535,KK Nair,J Yadav,0.0
536,MK Tiwary,J Yadav,0.0
537,MK Pandey,J Yadav,1.0
538,Mohammed Siraj,J Yadav,0.0
539,KM Jadhav,J Yadav,40.0
540,UT Yadav,J Yadav,1.0
541,Kuldeep Yadav,J Yadav,0.0
542,RG Sharma,J Yadav,71.0
543,STR Binny,J Yadav,0.0
544,BB Sran,J Yadav,0.0
545,SN Thakur,J Yadav,0.0
546,S Kaul,J Yadav,0.0
547,NA Saini,J Yadav,0.0
548,KL Rahul,J Yadav,0.0
549,PP Shaw,J Yadav,0.0
550,A Mishra,J Yadav,1.0
551,R Dhawan,J Yadav,0.0
552,KD Karthik,J Yadav,0.0
553,JJ Bumrah,J Yadav,1.0
554,Mohammed Shami,J Yadav,0.0
555,MM Sharma,J Yadav,0.0
556,Washington Sundar,J Yadav,0.0
557,RR Pant,J Yadav,0.0
558,DS Kulkarni,J Yadav,0.0
559,HH Pandya,J Yadav,0.0
560,Harbhajan Singh,J Yadav,0.0
561,DL Chahar,J Yadav,0.0
562,KK Ahmed,J Yadav,0.0
563,Shubman Gill,J Yadav,0.0
564,MS Dhoni,J Yadav,42.0
565,AT Rayudu,J Yadav,0.0
566,FY Fazal,J Yadav,0.0
567,V Shankar,J Yadav,0.0
568,I Sharma,J Yadav,0.0
569,RA Jadeja,J Yadav,0.0
570,AR Patel,J Yadav,25.0
571,S Dube,J Yadav,0.0
572,YS Chahal,KK Nair,23.0
573,YS Chahal,MK Tiwary,0.0
574,YS Chahal,MK Pandey,13.083333333333334
575,YS Chahal,Mohammed Siraj,0.0
576,YS Chahal,KM Jadhav,14.333333333333334
577,YS Chahal,UT Yadav,3.5
578,Kuldeep Yadav,YS Chahal,3.125
579,RG Sharma,YS Chahal,53.44444444444444
580,STR Binny,YS Chahal,0.0
581,YS Chahal,BB Sran,0.0
582,SN Thakur,YS Chahal,11.4
583,S Kaul,YS Chahal,6.5
584,YS Chahal,NA Saini,31.5
585,KL Rahul,YS Chahal,33.94736842105263
586,YS Chahal,PP Shaw,37.0
587,YS Chahal,A Mishra,0.0
588,R Dhawan,YS Chahal,0.0
589,KD Karthik,YS Chahal,18.5
590,JJ Bumrah,YS Chahal,0.9473684210526315
591,Mohammed Shami,YS Chahal,0.75
592,MM Sharma,YS Chahal,0.0
593,Washington Sundar,YS Chahal,0.0
594,RR Pant,YS Chahal,25.714285714285715
595,DS Kulkarni,YS Chahal,0.0
596,YS Chahal,HH Pandya,19.941176470588236
597,YS Chahal,Harbhajan Singh,0.0
598,YS Chahal,DL Chahar,0.0
599,YS Chahal,KK Ahmed,7.25
600,YS Chahal,Shubman Gill,17.0
601,YS Chahal,MS Dhoni,22.886363636363637
602,AT Rayudu,YS Chahal,29.714285714285715
603,YS Chahal,FY Fazal,55.0
604,YS Chahal,V Shankar,16.125
605,YS Chahal,I Sharma,0.0
606,RA Jadeja,YS Chahal,19.77777777777778
607,YS Chahal,AR Patel,1.2222222222222223
608,YS Chahal,S Dube,0.0
609,KK Nair,MK Tiwary,0.0
610,KK Nair,MK Pandey,25.0
611,KK Nair,Mohammed Siraj,0.0
612,KK Nair,KM Jadhav,23.0
613,KK Nair,UT Yadav,0.0
614,Kuldeep Yadav,KK Nair,0.0
615,RG Sharma,KK Nair,0.0
616,STR Binny,KK Nair,0.0
617,KK Nair,BB Sran,23.0
618,SN Thakur,KK Nair,0.0
619,S Kaul,KK Nair,0.0
620,NA Saini,KK Nair,0.0
621,KL Rahul,KK Nair,89.5
622,PP Shaw,KK Nair,0.0
623,A Mishra,KK Nair,0.0
624,R Dhawan,KK Nair,0.0
625,KD Karthik,KK Nair,0.0
626,JJ Bumrah,KK Nair,23.0
627,Mohammed Shami,KK Nair,0.0
628,MM Sharma,KK Nair,0.0
629,Washington Sundar,KK Nair,0.0
630,RR Pant,KK Nair,0.0
631,DS Kulkarni,KK Nair,23.0
632,HH Pandya,KK Nair,0.0
633,Harbhajan Singh,KK Nair,0.0
634,KK Nair,DL Chahar,0.0
635,KK Ahmed,KK Nair,0.0
636,Shubman Gill,KK Nair,0.0
637,MS Dhoni,KK Nair,23.0
638,AT Rayudu,KK Nair,74.5
639,KK Nair,FY Fazal,0.0
640,KK Nair,V Shankar,0.0
641,KK Nair,I Sharma,0.0
642,RA Jadeja,KK Nair,0.0
643,KK Nair,AR Patel,23.0
644,KK Nair,S Dube,0.0
645,MK Tiwary,MK Pandey,81.0
646,MK Tiwary,Mohammed Siraj,0.0
647,KM Jadhav,MK Tiwary,53.333333333333336
648,UT Yadav,MK Tiwary,0.0
649,Kuldeep Yadav,MK Tiwary,0.0
650,RG Sharma,MK Tiwary,0.0
